numero	nombre	tema	descripcion	proponente	partido	comision	fecha_turno	fecha_votacion	estado	recursos_adicionales
1	Que reforma, adiciona y deroga diversas disposiciones de la Ley Orgánica de la Armada de México	seguridad, interior, seguridad nacional	Modificar el contenido orgánico y la estructura operativo-militar de la Armada de México. 	Senadores	Senadores	Marina	3/4/10	9/14/11	En Pleno	http://gaceta.diputados.gob.mx/Gaceta/61/2010/mar/20100304-I.html#Min20100304Armada2
2	Proyecto de decreto, que reforma diversas disposiciones de la Ley de Seguridad Nacional. 	seguridad interior, seguridad nacional, seguridad pública	Crear un marco normativo para la intervención de las Fuerzas Armadas en la resolución de asuntos de seguridad interior. 	Senadores	Senadores	Defensa Nacional, Gobernación, Justicia	4/28/10		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2010/abr/20100428-I.html#Minuta20100428LeySeguridadNacional
3	Proyecto de decreto, por el que se reforman, adicionan y derogan diversas disposiciones de la Ley Federal de Acceso a la Información y Protección de Datos Personales.	acceso a la información, datos personales, transparencia	Fortalecer resoluciones del IFAI y dotarlo d autonomía, mejorar diseño institucional, aumentar sujetos obligados, limitar restricciones al acceso a la info	Senadores	Senadores	Función Pública, Gobernación, Justicia	4/29/10		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2010/abr/20100429-XI.pdf
4	Reforma diversas disposiciones de la Ley de Fondos de Aseguramiento Agropecuario y Rural.	agricultura, auditorías	Los fondos de aseguramiento contarán con una auditoría externa especializada, que permita el desempeño sustentable de sus operaciones.	Alba Leonila Méndez Herrera	PAN	Agricultura y Ganadería	2/8/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110208-V.html#Iniciativa13
5	Proyecto de decreto que reforma el artículo 2° de la Ley Federal contra la Delincuencia Organizada.	justicia, seguridad	Considerar los delitos catalogados como graves para sancionar a quienes los cometan como miembros de la delincuencia organizada.	Jorge Antonio Kahwagi Macari	Nueva Alianza	Justicia	2/8/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110208-V.html#Iniciativa1
6	Proyecto de decreto que reforma los artículos 10 y 76 Bis de la Ley de Amparo, Reglamentaria de los Artículos 103 y 107 de la Constitución Política de los Estados Unidos Mexicanos	amparo	Facultar a la víctima y al ofendido como titulares del derecho de exigir la reparación del daño o la responsabilidad civil proveniente de un delito, para promover un amparo.	Pedro Vázquez González	PT	Justicia	2/8/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110208-V.html#Iniciativa6
7	Proyecto de decreto que reforma los artículos 32 y 43 Bis de la Ley General de Población.	derechos de los migrantes	Obligar al Estado a proteger y garantir el trato digno y humano a todos los inmigrantes y transmigrantes que se encuentren en el país.	Jorge Venustiano González Ilescas 	PRI	Población, Fronteras y Asuntos Migratorios, Gobernación	2/8/11	9/28/11	Desechada en Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110208-V.html#Iniciativa3
8	Que reforma los artículos 103 y 107 de la Constitución Política de los Estados Unidos Mexicanos,	amparo, garantías individuales	Tribunales federales resolverán las controversias por violación d garantías individuales sin importar la naturaleza jurídica del responsable	Carlos Alberto Pérez Cuevas	PAN	Puntos Constitucionales	2/8/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110208-V.html#Iniciativa16
9	Que reforma los artículos 41 y 42 de la Ley Federal de Presupuesto y Responsabilidad Hacendaria.	Plan Nacional de Desarrollo, Sistema de Evaluación del desempeño	Incluir evaluación de avances de objetivos y metas del PND y programas sectoriales con base en el Sistema de Evaluación del Desempeño	Juan Pablo Escobar Martínez	PAN	Presupuesto y Cuenta Pública	2/15/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110215-VIII.html#Iniciativa11
10	Proyecto de decreto que reforma el artículo 343 Ter del Código Penal Federal.	justicia, violencia familiar	Equiparar la violencia familiar a la que se produzca en la relación en donde se mantenga una relación de pareja.	Gerardo Del Mazo Morales	Nueva Alianza	Justicia	2/17/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110217-V.html#Iniciativa15
11	Que reforma y adiciona diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos, y de los Códigos Federal de Instituciones y Procedimientos Electorales, y Penal Federal.	participación social, rendición de cuentas, 	Crear órgano colegiado dependiente del IFE e integrado por ciudadanos para evaluar desempeño d los representantes populares y sancionarlos	Jaime Sánchez Vélez	PRI	Gobernación, Justicia, Puntos Constitucionales 	2/17/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110210-VI.html#Iniciativa6
12	Que reforma el artículo 35 de la Constitución Política de los Estados Unidos Mexicanos y expide la Ley General de Candidaturas Independientes.	elecciones	Los ciudadanos podrán registrar candidaturas independientes para los cargos de Presidente de la República, senadores y diputados	Jaime Fernando Cárdenas Gracia	PT	Gobernación, Puntos Constitucionales	2/17/11		Desechada por la Mesa Directiva	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110208-V.html#Iniciativa20
13	Proyecto de decreto que reforma, adiciona y deroga diversas disposiciones de la Ley Orgánica de la Administración Pública Federal, de la Ley Orgánica del Tribunal Federal de Justicia Fiscal y Administrativa, y de la Ley Federal de Responsabilidades Administrativas de los Servidores Públicos.	administración pública federal, 	Facultar al Tribunal Federal de Justicia Fiscal y Administrativa para que impongan sanciones a los servidores públicos por responsabilidad administrativa.	Marcela Guerra Castillo	PRI	Gobernación, Hacienda y Crédito Público, Función Pública	2/17/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110210-VI.html#Iniciativa5
14	Proyecto de Decreto que reforma la fracción IV del artículo 29-A del Código Fiscal de la Federación.	transparencia, presupuesto	Incluir en los comprobantes fiscales digitales, el nombre, denominación o razón social y domicilio fiscal de la persona a favor de quien expida.	Francisco Agundis Arias (Senadores)		Hacienda y Crédito Público	2/17/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110217-I.html#Iniciativa2
15	Proyecto de decreto que reforma, adiciona y deroga diversas disposiciones de la Ley General para Prevenir y Sancionar los Delitos en Materia de Secuestro, Reglamentaria de la Fracción XXI del artículo 73 de la Constitución Política de los Estados Unidos Mexicanos, del Código Penal Federal y de la Ley Federal contra la Delincuencia Organizada.	justicia, seguridad	Prever sanciones mayores para los delitos en materia de secuestro con condiciones agravadas. 	Congreso del Estado de Chihuahua (Congresos Locales)		Justicia	2/17/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110217-I.html#Iniciativa1
16	Proyecto de decreto que reforma y adiciona diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos, del Código Federal de Instituciones y Procedimientos Electorales, y del Código Penal Federal.	representación popular, evaluación	Crear un órgano ciudadano, dependiente del IFE, para evaluar el desempeño de los representantes.	Jaime Sánchez Vélez	PRI	Justicia	2/17/11		Desechada por la Mesa Directiva	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110210-VI.html#Iniciativa6
17	Proyecto de decreto que expide la Ley para la Protección y Apoyo a los Migrantes y sus Familias.	derechos de los migrantes	Crear un ordenamiento jurídico que garantice y promueva la protección, el estudio, la divulgación y el ejercicio de los derechos fundamentales de los migrantes.	Juan Carlos López Fernández	PRD	Población, Fronteras y Asuntos Migratorios, Gobernación	2/17/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110208-V.html#Iniciativa10
18	Que reforma, adiciona y deroga diversas disposiciones de la Ley Federal de Presupuesto y Responsabilidad Hacendaria	presupuesto, rendición de cuentas, transparencia, publicidad oficial	Incluir en informes trimestrales y Cuenta Pública, y publicar en internet, reportes d fideicomisos, subejercicios y gastos en com. social	César Augusto Santiago Ramírez	PRI	Presupuesto y Cuenta Pública	2/17/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110208-V.html#Iniciativa18
19	Que reforma los artículos 74 y 79 de la Constitución Política de los Estados Unidos Mexicanos.	control legislativo, fiscalización	Crear los ”informes individuales” y el “Informe General Ejecutivo” de la Cuenta Pública para sintetizar la info de fiscalización de la ASF	César Augusto Santiago Ramírez	PRI	Puntos Constitucionales	2/17/11	11/8/11	Desechada por la Mesa Directiva	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110217-V.html#Iniciativa1
20	Que reforma los artículos 67 y 69 de la Constitución Política de los Estados Unidos Mexicanos.	informe presidencial, rendición de cuentas	El Presidente enviará informe escrito a más tardar el 15/ago y en la apertura d sesiones dl 1er periodo acudirá a comparecer ante la Cámara	Olivia Guillén Padilla, Arturo Zamora Jiménez	PRI, PRI	Puntos Constitucionales	2/17/11	11/8/11	Desechada por la Mesa Directiva	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110208-V.html#Iniciativa8
21	Que reforma y adiciona diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos	auditorías, rendición de cuentas	Dar autonomía constitucional a la ASF (iniciar leyes, promover controversias), elegir por voto directo de los ciudadanos al auditor superior	Jaime Fernando Cárdenas Gracia	PT	Puntos Constitucionales	2/17/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110208-V.html#Iniciativa11
22	Que reforma los artículos 103 y 107 de la Constitución Política de los Estados Unidos Mexicanos, para establecer el amparo social	amparo, derechos colectivos	Cualquier persona podrá interponer un juicio de amparo, de forma individual o en representación de una colectividad	Jaime Fernando Cárdenas Gracia	PT	Puntos Constitucionales	2/17/11	11/8/11	Desechada por la Mesa Directiva	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110210-VI.html#Iniciativa11
23	Reforma y adiciona diversas disposiciones de la Ley de Petróleos Mexicanos.	energía, Pemex	Crear Unidad d Impacto Social p evaluar daños a la economía o salud d población q se retribuirán con obras públicas d desarrollo sustentable	César Francisco Burelo Burelo	PRD	Energía	2/22/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-IV.html#Iniciativa11
24	Reforma y adiciona diversas disposiciones del Código Federal de Instituciones y Procedimientos Electorales.	elecciones, publicidad oficial	Prohibir publicidad de los gobiernos y candidatos durante campañas electorales, regulaciones p/ recuento de votos y voto en el extranjero.	Javier Corral Jurado, José de Jesús Zambrano Grijalva (suscribe), Jaime Alvarez Cisneros (suscribe)	PAN, PRD, Convergencia	Gobernación	2/22/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-III.html#Iniciativa19
25	Proyecto de decreto que reforma el artículo 176 de la Ley del Impuesto Sobre la Renta.	presupuesto	Deducir el 100% de las colegiaturas, inscripciones y reinscripciones pagadas a instituciones públicas y privadas hasta por 3 hijos.	Jorge Humberto López-Portillo Basave	PRI	Hacienda y Crédito Público	2/22/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-I.html#Iniciativa31
26	Proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Federal de Defensoría Pública.	justicia	Garantizar el derecho a la defensa en materia civil, de la seguridad social, administrativa y financiera, así como los mecanismos alternativos de solución de controversias. 	Israel Madrigal Ceja	PRD	Justicia	2/22/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-IV.html#Iniciativa5
27	Proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley General de Población.	protección de datos persnoales	El Registro Nacional de Población garantizará la seguridad y confidencialidad de los datos personales. 	Lorena Corona Valdés	PVEM	Población, Fronteras y Asuntos Migratorios, Gobernación	2/22/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-II.html#Iniciativa12
28	Proyecto de decreto que reforma, adiciona y deroga diversas disposiciones de la Ley General de Población, del Código Federal de Instituciones y Procedimientos Electorales y de la Ley Orgánica de la Administración Pública Federal.	protección de datos persnoales	Crear el Registro Nacional de Población, responsable del registro y acreditación de la identidad de los residentes y nacionales.	Grupos Parlamentarios (CONJUNTAS)		Población, Fronteras y Asuntos Migratorios, Gobernación	2/22/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-III.html#Iniciativa20
29	Proyecto de decreto que reforma los artículos 96 de la Constitución Política de los Estados Unidos Mexicanos, y 81 de la Ley Orgánica del Poder Judicial de la Federación.	Poder Judicial, Suprema Corte de Justicia de la Nación	Establecer un plazo a partir de que surja la vacante para que el Presidente de la República envíe al Senado la terna para nombrar a los ministros de la Suprema Corte. 	María del Carmen Izaguirre Francos	PRI	Justicia, Puntos Constitucionales	2/22/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-III.html#Iniciativa5
30	Proyecto de decreto que reforma los artículos 13, 21 y 32 de la Ley para la Protección de los Derechos de Niñas, Niños y Adolescentes.	derechos de las niñas, los niños y los adolescentes	Proteger en su integridad a niño/as y adolescentes en el caso de matrimonio adolescente o forzado. Garantizar escolarización a las adolescentes embarazadas.	Lucila del Carmen Gallegos Camarena 	PAN	Atención a grupos vulnerables	2/24/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110224-IV.html#Iniciativa24
31	Proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley de Asistencia Social y de Ley para la Protección de los Derechos de Niñas, Niños y Adolescentes.	asistencia social, derechos de niñas, niños y adolescentes	Reformar la Ley de Asistencia Social y la Ley para la protección de los Derechos de Niñas, Niños y Adolescentes.	 Agustín Carlos Castilla Marroquín 	PAN	Atención a grupos vulnerables, Salud.	2/24/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110224-IV.html#Iniciativa21
32	Reforma los artículos 9° y 10 de la Ley Federal para Prevenir y Eliminar la Discriminación.	derechos humanos, derechos de las mujeres, 	Limitar el acceso a la procuración e impartición de justicia es discriminatorio, órganos públicos informarán sobre derechos de las mujeres.	Lucila del Carmen Gallegos Camarena	PAN	Derechos Humanos	2/24/11	10/11/11	En Pleno	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110224-IV.html#Iniciativa25
33	Proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley General de Desarrollo Social.	desarrollo social	Dar prioridad a los programas de superación de la pobreza y mejoramiento de la calidad de vida por parte de los organizaciones de la sociedad civil. 	María Guadalupe García Almanza 	Convergencia	Desarrollo Social	2/24/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-IV.html#Iniciativa14
34	Proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley General de Desarrollo Social y de la Ley Federal de las Entidades Paraestatales.	desarrollo social	Reformar al Consejo Nacional de Evaluación de la Política de Desarrollo Social (CONEVAL).	Carlos Flores Rico 	PRI	Desarrollo Social, Gobernación	2/24/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110224-IV.html#Iniciativa20
35	Adiciona diversas disposiciones a la Ley Orgánica de la Administración Pública.	participación social, transparencia, rendición de cuentas	Fomentar partcipación ciuddana en políticas públicas p incluir su visión, combatir corrupción, fortalecer transparncia y rendición d cuentas	Adriana de Lourdes Hinojosa Céspedes, María Marcela Torres Peimbert (suscribe)	PAN, PAN	Gobernación	2/24/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-I.html#Iniciativa9
36	Reforma los artículos 41 y 116 de la Constitución Política de los Estados Unidos Mexicanos, y 78 del Código Federal de Instituciones y Procedimientos Electorales	elecciones	Reducir financiamiento de partidos durante proceso electoral, redefinir distribución de tiempos de partidos en radio y televisión	Pedro Jiménez León	Convergencia	Gobernación	2/24/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-II.html#Iniciativa7
37	Proyecto de decreto que reforma el artículo 124 de la Ley de Amparo, Reglamentaria de los artículos 103 y 107 de la Constitución Política de los Estados Unidos Mexicanos.	reforma Constitucional, justicia, amparo.	Incluir el supuesto mediante el cual se decretará la suspensión del acto cuando se permita la participación de personas que se encuentren inhabilitadas.	Leonardo Arturo Guillén Medina	PAN	Justicia	2/24/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-II.html#Iniciativa4
38	Que expide la Ley Federal de Mecanismos de Cooperación Ciudadana en la Gestión Pública de la Administración Pública Federal.	participación ciudadana	Establecer principios y mecanismos de cooperación ciudadana en la gestión pública para garantizar e impulsar derechos políticos y civiles.	Adriana de Lourdes Hinojosa Céspedes	PAN	Participación Ciudadana,Puntos Constitucionales	2/24/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-III.html#Iniciativa13
39	Que reforma el artículo 6o. de la Constitución Política de los Estados Unidos Mexicanos.	acceso a la información, organismos públicos autónomos, transparencia 	El IFAI será un organismo público autónomo, con personalidad jurídica y patrimonio propios, autonomía técnica, de gestión y presupuestaria	Agustín Castilla Marroquín	PAN	Puntos Constitucionales	2/24/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-II.html#Iniciativa10
40	Que reforma el artículo 74 de la Constitución Política de los Estados Unidos Mexicanos.	presupuesto	La Cámara de Diputados aprobará el PEF antes de las 24 hrs del uso horario del DF, del 15/nov del año correspondiente	Francisco Arturo Vega de Lamadrid,	PAN	Puntos Constitucionales	2/24/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-III.html#Iniciativa6
41	Proyecto de decreto que reforma y adiciona diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos, del Código Civil Federal y de la Ley para la Protección de los Derechos de Niñas, Niños y Adolescentes.	derechos de las niñas, los niños y los adolescentes	Obligar a los ascendientes y tutores a respetar el derecho a la identidad registrando el nacimiento de forma inmediata y cumpliendo con sus deberes establecidos en la ley. 	María Joann Novoa Mossberger 	PAN	Puntos Constitucionales, Justicia, Atención a Grupos Vulnerables.	2/24/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-III.html#Iniciativa10
42	Que reforma los artículos 23 de la Ley Orgánica del Congreso General de los Estados Unidos Mexicanos, y 8o. del Reglamento de la Cámara de Diputados	diputados, trabajo legislativo	Imponer sanciones económicas de acuerdo con los costos del erario público, a diputados q desacaten las llamadas al orden durante sesiones	Paz Gutiérrez Cortina	PAN	Régimen, Reglamentos y Prácticas Parlamentarias	2/24/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-II.html#Iniciativa30
43	Reforma el artículo 85 de la Ley de Desarrollo Rural Sustentable.	desarrollo rural	@GobFed impulsará conforme al Programa Especial Concurrente, servicios de agua potable, alcantarillado y saneamiento a comunidades rurales.	Ramón Merino Loo	PAN	Desarrollo Rural	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110301-III.html#Iniciativa11
44	Que expide la Ley Federal de Propaganda Institucional.	publicidad oficial, transparencia	Crear una ley para vigilar el cumplimiento de las normas sobre propaganda institucional y la transparencia en el manejo de los recursos	César Augusto Santiago Ramírez	PRI	Gobernación	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-I.html#Iniciativa11
45	Proyecto de decreto que adiciona la fracción IX al artículo 25 y los artículos 48 a 50, recorriendo el orden de los subsecuentes, de la Ley de Coordinación Fiscal.	presupuesto, derechos indígenas	Crear el Fondo de Aportaciones para el Desarrollo de los Pueblos Indígenas.	Congreso del Estado de Chiapas (Congresos Locales)		Hacienda y Crédito Público	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110301-I.html#Iniciativa1
46	Proyecto de decreto que reforma el tercer párrafo y adiciona la fracción IX del primer párrafo del artículo 176 de la Ley del Impuesto sobre la Renta.	presupuesto, educación	Las personas físicas residentes en el país podrán deducir del Impuesto Sobre la Renta, las colegiaturas de educación básica y medio superior efectuadas.	Marco Humberto Aguilar Coronado (Senadores)		Hacienda y Crédito Público	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110301-I.html#Iniciativa2
47	Que reforma y adiciona diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos y de la Ley de Planeación	Plan Nacional de Desarrollo, control legislativo  	Facultar al Congreso de la Unión para analizar, discutir y aprobar o no el Plan Nacional de Desarrollo que proponga el Ejecutivo	Ariel Gómez León	PRD	Hacienda y Crédito Público, Puntos Constitucionales	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110301-III.html#Iniciativa16
48	Proyecto de decreto que reforma, adiciona y deroga diversas disposiciones de la Ley Federal Contra la Delincuencia Organizada, del Código Federal de Procedimientos Penales, de la Ley Orgánica de la Procuraduría General de la República, de la Ley Orgánica del Poder Judicial de la Federación, y de la Ley de Amparo Reglamentaria de los Artículos 103 y 107 de la Constitución Política de los Estados Unidos Mexicanos.	procedimientos penales	Delimitar y precisar la figura del arraigo, así como su procedimiento. 	Víctor Humberto Benítez Treviño	PRI	Justicia	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-II.html#Iniciativa25
49	Proyecto de decreto que expide la Ley de Emergencia contra los Feminicidios, y reforma el artículo 194 del Código Federal de Procedimientos Penales.	procedimientos penales, violencia de género	Crear un ordenamiento jurídico, con el objeto de prevenir, sancionar y erradicar los feminicidios , definir el delito de feminicidio.	Mary Telma Guajardo Villarreal	PRD	Justicia con Opinión de Presupuesto y Cuenta Pública	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-IV.html#Iniciativa2
50	Proyecto de decreto que reforma, adiciona y deroga diversas disposiciones de la Ley General del Sistema de Medios de Impugnación en Materia Electoral.	elecciones	Otorgar el derecho a los ciudadanos en lo individual o colectivamente para promover la presentación de los medios de impugnación.	Jaime Fernando Cárdenas Gracia	PT	Justicia, Gobernación	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-II.html#Iniciativa6ç
51	Proyecto de decreto que reforma diversas disposiciones del Código Federal de Procedimientos Penales, de la Ley Orgánica de la Procuraduría General de la República, de la Ley Federal de Defensoría Pública, y de la Ley que Establece las Normas Mínimas Sobre Readaptación Social de Sentenciados.	equidad de género, procedimientos penales	Incorporar la perspectiva de género durante el desarrollo de la averiguación previa, así como durante todo el proceso penal. 	Laura Elena Estrada Rodríguez	PAN	Justicia, Seguridad Pública	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110215-VIII.html#Iniciativa8
52	Proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley General de Población.	migración	La oficina migratoria realizará los trámites pertinentes para la legal estancia de los extranjeros y el transito temporal de los migrantes.	Diva Hadamira Gastélum Bajo	PRI	Población, Fronteras y Asuntos Migratorios	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110224-IV.html#Iniciativa16
53	Que reforma el artículo 4o. de la Constitución Política de los Estados Unidos Mexicanos, para que todos lo bebés de México reciban atención médica gratuita, sin condiciones ni restricciones, en todas las instituciones que reciban aportes del Estado mexicano.	derecho a la salud	Los menores de 1 año de vida tendrán derecho a recibir atención médica gratuita en las instituciones de salud que reciban recursos públicos.	José del Pilar Córdova Hernández	PRI	Puntos Constitucionales	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-I.html#Iniciativa17
54	Que reforma los artículos 55 y 58 de la Constitución Política de los Estados Unidos Mexicanos	diputados, senadores	Establecer como requisito para ser diputado o senador tener el título profesional de educación superior	Guillermo Cueva Sada	PVEM	Puntos Constitucionales	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-I.html#Iniciativa18
55	Que reforma los artículos 108 y 110 de la Constitución Política de los Estados Unidos Mexicanos	control legislativo, rendición de cuentas 	El Presidente de la República podrá ser sujeto de juicio político y de responsabilidad administrativa, civil o penal, durante su mandato	Omar Fayad Meneses	PRI	Puntos Constitucionales	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-I.html#Iniciativa28
56	Que reforma el artículo 113 de la Constitución Política de los Estados Unidos Mexicanos	justicia, poder judicial	Los daños causados por error judicial o deficiencias en la administración de justicia darán derecho a una indemnización para los afectados	Víctor Manuel Báez Ceja	PRD	Puntos Constitucionales	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-II.html#Iniciativa5
57	Que reforma el artículo 93 de la Constitución Política de los Estados Unidos Mexicanos.	control legislativo, participación ciudadana	Gpos parlamentarios podrán crear comisiones d investigación sin autorización dl pleno y a petición ciudadana sobre asuntos d interés público	Jaime Fernando Cárdenas Gracia	PT	Puntos Constitucionales	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-III.html#Iniciativa8
58	Que reforma el artículo 61 de la Constitución Política de los Estados Unidos Mexicanos	diputados, senadores	Prohibir mandato imperativo sobre legisladores. El estatuto de los legisladores de las Cámaras se regulará sólo por la Ley del Congreso	Jaime Fernando Cárdenas Gracia	PT	Puntos Constitucionales	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-IV.html#Iniciativa21
59	Que reforma el artículo 89 de la Constitución Política de los Estados Unidos Mexicanos	administración pública federal	Elaborar reglamentos es facultad exclusiva del Poder Ejecutivo. Los reglamentos deberán establecer el modo de ejecución de la ley	Jaime Fernando Cárdenas Gracia	PT	Puntos Constitucionales	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110301-III.html#Iniciativa8
60	Que reforma los artículos 52 a 54 y 56 de la Constitución Política de los Estados Unidos Mexicanos	diputados, senadores, reforma política	Reducir de 200 a 100 diputados de representación proporcional y eliminar los senadores elegidos mediante éste principio	Arturo Zamora Jiménez	PRI	Puntos Constitucionales	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-IV.html#Iniciativa34
61	Proyecto de decreto que reforma, adiciona y deroga diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos, de la Ley Orgánica de la Administración Pública Federal, de la Ley Federal de Telecomunicaciones, de la Ley Federal de Competencia Económica, de la Ley de la Comision Reguladora de Energía, de la Ley de la Comision Nacional Bancaria y de Valores, de la Ley Federal de Instituciones de Fianzas, de la Ley General de Instituciones y Sociedades Mutualistas de Seguros, de la Ley de los Sistemas de Ahorro para el Retiro, y la de Ley del Servicio Profesional de Carrera en la Administración Pública Federal.	administración pública federal	Crear Órganos Reguladores en la Administración Pública Centralizada que contarán con autonomía técnica, operativa, de gestión, de decisión y presupuestal. 	Alberto Emiliano Cinta Martínez	PVEM	Puntos Constitucionales, Gobernación, Hacienda y Crédito Público	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-I.html#Iniciativa23
62	Que reforma el artículo 17 de la Ley Orgánica del Congreso General de los Estados Unidos Mexicanos	diputados, trabajo legislativo	La Mesa Directiva de la C. d Diputados la presidirá diputad@ d distinto Gpo Parlamentario del q presida la JUCOPO en 1 mismo año legislativo	Alejandro Encinas Rodríguez, José Luis Jaime Correa	PRD, PRD	Régimen, Reglamentos y Prácticas Parlamentarias	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110301-III.html#Iniciativa2
63	Proyecto de decreto que reforma los artículos 28, 37 y 43 de la Ley de los Derechos de las Personas Adultas Mayores.	derechos de las personas adultas mayores	Reformar la Ley de los Derechos de las Personas Adultas Mayores.	Ana Georgina Zapata Lucero 	PRI	Atención a Grupos Vulnerables	3/3/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-III.html#Iniciativa1
