numero	nombre	tema	descripcion	proponente	partido	comision	fecha_turno	fecha_votacion	estado	recursos_adicionales
100	Que reforma el artículo 74 de la Constitución Política de los Estados Unidos Mexicanos	diputados, presupuesto	Otorgar la facultad exclusiva de reconducción presupuestal a la Cámara de Diputados, en caso de que el presupuesto no se apruebe a tiempo	Mary Telma Guajardo Villarreal, Víctor Manuel Castro Cosío	PRD, PRD	Puntos Constitucionales	3/17/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110317-II.html#Iniciativa13
101	Que reforma los artículos 74 de la Constitución Política de los Estados Unidos Mexicanos y 43 de la Ley Orgánica del Congreso General de los Estados Unidos Mexicano	Poder Ejecutivo, presupuesto	Poder Ejecutivo podrá revisar y modificar el PEF aprobado por la Cámara de Diputados dentro d los 10 días hábiles siguientes a su aprobación	Ricardo Ahued Bardahuil	PRI	Puntos Constitucionales, Régimen, Reglamentos y Prácticas Parlamentarias	3/17/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110308-VII.html#Iniciativa14
102	Que reforma el artículo primero transitorio y deroga el décimo segundo y décimo tercero transitorios del Reglamento de la Cámara de Diputados	diputados, trabajo legislativo	Modificar la entrada en vigor del Reglamento, del primero de enero de 2011 al primero de septiembre de 2011.	Reginaldo Rivera de la Torre	PRI	Régimen, Reglamentos y Prácticas Parlamentarias	3/17/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-II.html#Iniciativa14
103	Que reforma diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos, del Código Federal de Instituciones y Procedimientos Electorales, y de la Ley Orgánica del Poder Judicial de la Federación, y expide la Ley Federal de Participación Ciudadana, en materia de democracia participativa.	participación social, reforma política	Incorporar mecanismos d participación como plebiscito y referéndum p la implementación constitucional y legal d la democracia participativa	Adriana Sarur Torre	PVEM	Gobernación, Justicia, Participación Ciudadana, Puntos Constitucionales	3/23/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110323-VI.html#Iniciativa4
104	Que reforma los artículos 31 de la Ley Orgánica de la Administración Pública Federal, y 40 de la Ley Federal de Presupuesto y Responsabilidad Hacendaria	energía, presupuesto	Excluir de las facultades de la SHCP la determinación de los precios de la gasolina y el diesel, así como de las tarifas de electricidad	Agustín Guerrero Castillo	PRD	Presupuesto y Cuenta Pública	3/23/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110323-VI.html#Iniciativa7
105	Que reforma, adiciona y deroga diversas disposiciones de las Leyes Orgánica de la Administración Pública Federal, y General de Desarrollo Social, para que los programas sociales se ejecuten a través de las dependencias de los estados homólogas a las del Ejecutivo federal.	desarrollo social	Suprimir Sedesol y sus delegaciones para que los programas de desarrollo social se ejecuten en las dependencias homólogas de los estados.	Antonio Benítez Lucho	PRI	Desarrollo Social, Gobernación	3/24/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110317-II.html#Iniciativa17
106	Que reforma el artículo 34 de la Ley Federal de Presupuesto y Responsabilidad Hacendaria, en materia de programas y proyectos de inversión.	evaluación, presupuesto	SHCP hará evaluación costo-beneficio de programas y proyectos de inversión o asignará inmediatamente el registro en la cartera de los mismos	Paula Angélica Hernández Olmos	PRI	Presupuesto y Cuenta Pública	3/24/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110303-VII.html#Iniciativa18
107	Decreto que expide una nueva Ley de Seguridad Nacional y abroga la actual.	seguridad nacional	Crear una ley para establecer las atribuciones de las autoridades federales y locales en el desarrollo de políticas de seguridad nacional	Alejandro Encinas Rodríguez	PRD	Gobernación	3/29/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110324-VI.html#Iniciativa5
108	Que reforma el artículo 19 de la Ley Federal de Presupuesto y Responsabilidad Hacendaria	desarrollo municipal, excedentes petroleros 	Destinar 20% d excedentes al Fondo de Estabilización p Inversión en Infraestructura d Pemex, 5% a infraestructura y equipamiento municipales	Omar Fayad Meneses	PRI	Presupuesto y Cuenta Pública	3/29/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110310-II.html#Iniciativa13
109	Reforma el artículo 29 de la Ley de la Comision Nacional de los Derechos Humanos.	derechos humanos	Crear la figura jurídica Suplencia en la deficiencia de la queja para q la CNDH ayude a las personas a interponer sus quejas correctamente	Congreso de Jalisco	Congreso de Jalisco	Derechos humanos	4/5/11	10/18/11	En Pleno	http://gaceta.diputados.gob.mx/Gaceta/61/2011/abr/20110405-I.html#Iniciativa1
